ÀàÄ¿±àÂë,id
A00,1
A01,2
A02,3
A03,4
A04,5
A05,6
A06,7
A07,8
A08,9
A09,10
A15,11
A16,12
A17+,13
A18,14
A19,15
A20,16
A21,17
A22,18
A23,19
A24,20
A25,21
A26,22
A27,23
A28,24
A30,25
A31,26
A32,27
A33,28
A34,29
A35,30
A36,31
A37,32
A38,33
A39,34
A40,35
A41,36
A42,37
A43,38
A44,39
A46,40
A48,41
A49,42
A50,43
A51,44
A52,45
A53,46
A54,47
A55,48
A56,49
A57,50
A58,51
A59,52
A60,53
A63,54
A64,55
A65,56
A66,57
A67,58
A68,59
A69,60
A70,61
A71,62
A74,63
A75,64
A77,65
A78,66
A79,67
A80,68
A81,69
A82,70
A83,71
A84,72
A85,73
A86,74
A87,75
A88,76
A89,77
A90,78
A91,79
A92,80
A93,81
A94,82
A95,83
A96,84
A98,85
A99,86
B00,87
B01,88
B02,89
B03,90
B04,91
B05,92
B06,93
B07,94
B08,95
B09,96
B15,97
B16,98
B17,99
B18,100
B19,101
B20,102
B21,103
B22,104
B23,105
B24,106
B25,107
B26,108
B27,109
B30,110
B33,111
B34,112
B35,113
B36,114
B37,115
B38,116
B39,117
B40,118
B41,119
B42,120
B43,121
B44,122
B45,123
B46,124
B47,125
B48,126
B49,127
B50,128
B51,129
B52,130
B53,131
B54,132
B55,133
B56,134
B57,135
B58,136
B59,137
B60,138
B64,139
B65,140
B66,141
B67,142
B68,143
B69,144
B70,145
B71,146
B72,147
B73,148
B74,149
B75,150
B76,151
B77,152
B78,153
B79,154
B80,155
B81,156
B82,157
B83,158
B85,159
B86,160
B87,161
B88,162
B89,163
B90,164
B91,165
B92,166
B94,167
B95,168
B96,169
B97,170
B98,171
B99,172
C00,173
C01,174
C02,175
C03,176
C04,177
C05,178
C06,179
C07,180
C08,181
C09,182
C10,183
C11,184
C12,185
C13,186
C14,187
C15,188
C16,189
C17,190
C18,191
C19,192
C20,193
C21,194
C22,195
C23,196
C24,197
C25,198
C26,199
C30,200
C31,201
C32,202
C33,203
C34,204
C37,205
C38,206
C39,207
C40,208
C41,209
C43,210
C44,211
C45,212
C46,213
C47,214
C48,215
C49,216
C50,217
C51,218
C52,219
C53,220
C54,221
C55,222
C56,223
C57,224
C58,225
C60,226
C61,227
C62,228
C63,229
C64,230
C65,231
C66,232
C67,233
C68,234
C69,235
C70,236
C71,237
C72,238
C73,239
C74,240
C75,241
C76,242
C77,243
C78,244
C79,245
C80,246
C81,247
C82,248
C83,249
C84,250
C85,251
C86,252
C88,253
C90,254
C91,255
C92,256
C93,257
C94,258
C95,259
C96,260
C97,261
D00,262
D01,263
D02,264
D03,265
D04,266
D05,267
D06,268
D07,269
D09,270
D10,271
D11,272
D12,273
D13,274
D14,275
D15,276
D16,277
D17,278
D18,279
D19,280
D20,281
D21,282
D22,283
D23,284
D24,285
D25,286
D26,287
D27,288
D28,289
D29,290
D30,291
D31,292
D32,293
D33,294
D34,295
D35,296
D36,297
D37,298
D38,299
D39,300
D40,301
D41,302
D42,303
D43,304
D44,305
D45,306
D46,307
D47,308
D48,309
D50,310
D51,311
D52,312
D53,313
D55,314
D56,315
D57,316
D58,317
D59,318
D60,319
D61,320
D62,321
D63*,322
D64,323
D65,324
D66,325
D67,326
D68,327
D69,328
D70,329
D71,330
D72,331
D73,332
D74,333
D75,334
D76,335
D77*,336
D80,337
D81,338
D82,339
D83,340
D84,341
D86,342
D89,343
E00,344
E01,345
E02,346
E03,347
E04,348
E05,349
E06,350
E07,351
E10,352
E11,353
E12,354
E13,355
E14,356
E15,357
E16,358
E20,359
E21,360
E22,361
E23,362
E24,363
E25,364
E26,365
E27,366
E28,367
E29,368
E30,369
E31,370
E32,371
E34,372
E35*,373
E40,374
E41,375
E42,376
E43,377
E44,378
E45,379
E46,380
E50,381
E51,382
E52,383
E53,384
E54,385
E55,386
E56,387
E58,388
E59,389
E60,390
E61,391
E63,392
E64,393
E65,394
E66,395
E67,396
E68,397
E70,398
E71,399
E72,400
E73,401
E74,402
E75,403
E76,404
E77,405
E78,406
E79,407
E80,408
E83,409
E84,410
E85,411
E86,412
E87,413
E88,414
E89,415
E90*,416
F00*,417
F01,418
F02*,419
F03,420
F04,421
F05,422
F06,423
F07,424
F09,425
F10,426
F11,427
F12,428
F13,429
F14,430
F15,431
F16,432
F17,433
F18,434
F19,435
F20,436
F21,437
F22,438
F23,439
F24,440
F25,441
F28,442
F29,443
F30,444
F31,445
F32,446
F33,447
F34,448
F38,449
F39,450
F40,451
F41,452
F42,453
F43,454
F44,455
F45,456
F48,457
F50,458
F51,459
F52,460
F53,461
F54,462
F55,463
F59,464
F60,465
F61,466
F62,467
F63,468
F64,469
F65,470
F66,471
F68,472
F69,473
F70,474
F71,475
F72,476
F73,477
F78,478
F79,479
F80,480
F81,481
F82,482
F83,483
F84,484
F88,485
F89,486
F90,487
F91,488
F92,489
F93,490
F94,491
F95,492
F98,493
F99,494
F99,495
G00,496
G01*,497
G02*,498
G03,499
G04,500
G05*,501
G06,502
G07*,503
G08,504
G09,505
G10,506
G11,507
G12,508
G13*,509
G14,510
G20,511
G21,512
G22*,513
G23,514
G24,515
G25,516
G26*,517
G30,518
G31,519
G32*,520
G35,521
G36,522
G37,523
G40,524
G41,525
G43,526
G44,527
G45,528
G46*,529
G47,530
G50,531
G51,532
G52,533
G53*,534
G54,535
G55*,536
G56,537
G57,538
G58,539
G59*,540
G60,541
G61,542
G62,543
G63*,544
G64,545
G70,546
G71,547
G72,548
G73*,549
G80,550
G81,551
G82,552
G83,553
G90,554
G91,555
G92,556
G93,557
G94*,558
G95,559
G96,560
G97,561
G98,562
G99*,563
H00,564
H01,565
H02,566
H03*,567
H04,568
H05,569
H06*,570
H10,571
H11,572
H13*,573
H15,574
H16,575
H17,576
H18,577
H19*,578
H20,579
H21,580
H22*,581
H25,582
H26,583
H27,584
H28*,585
H30,586
H31,587
H32*,588
H33,589
H34,590
H35,591
H36*,592
H40,593
H42*,594
H43,595
H44,596
H45*,597
H46,598
H47,599
H48*,600
H49,601
H50,602
H51,603
H52,604
H53,605
H54,606
H55,607
H57,608
H58*,609
H59,610
H60,611
H61,612
H62*,613
H65,614
H66,615
H67*,616
H68,617
H69,618
H70,619
H71,620
H72,621
H73,622
H74,623
H75*,624
H80,625
H81,626
H82*,627
H83,628
H90,629
H91,630
H92,631
H93,632
H94*,633
H95,634
I00,635
I01,636
I02,637
I05,638
I06,639
I07,640
I08,641
I09,642
I10,643
I11,644
I12,645
I13,646
I15,647
I20,648
I21,649
I22,650
I23,651
I24,652
I25,653
I26,654
I27,655
I28,656
I30,657
